City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description 
160,Biak,ID,-0.9131,122.8766,74.26,90,66,4.61,light rain
161,Mawlaik,MM,23.6333,94.4167,76.21,97,14,0.56,few clouds
162,Bengkulu,ID,-3.8004,102.2655,74.12,87,9,3.87,clear sky
163,Linguere,SN,15.3953,-15.1193,90.1,47,46,13.35,light rain
164,Hasaki,JP,35.7333,140.8333,75.6,92,100,16.93,overcast clouds
165,Nanortalik,GL,60.1432,-45.2371,44.2,89,32,7.58,scattered clouds
166,Sinnamary,GF,5.3833,-52.95,76.23,92,100,9.35,overcast clouds
167,Turukhansk,RU,65.8167,87.9833,55.53,92,52,12.17,broken clouds
168,Pacific Grove,US,36.6177,-121.9166,82.24,82,75,10.36,broken clouds
169,Esperance,AU,-33.8667,121.9,59.31,75,100,21.97,overcast clouds
170,Saint-Augustin,CA,51.226,-58.6502,58.66,70,19,20.6,few clouds
171,Rosarito,MX,32.3333,-117.0333,90.63,62,23,11.81,few clouds
172,Cap Malheureux,MU,-19.9842,57.6142,68.47,69,50,5.99,scattered clouds
173,Eyl,SO,7.9803,49.8164,77.27,67,20,25.97,few clouds
174,Arcata,US,40.8665,-124.0828,80.67,74,75,9.22,broken clouds
175,Pokosnoye,RU,55.5258,101.0536,50.92,92,93,3.76,overcast clouds
176,Makushino,RU,55.2103,67.2442,64.71,74,96,4.68,overcast clouds
177,Port Elizabeth,ZA,-33.918,25.5701,73.69,33,100,13.8,overcast clouds
178,Dingle,PH,10.9995,122.6711,76.32,91,89,9.84,overcast clouds
179,Santiago,CL,-33.4569,-70.6483,49.55,75,75,8.05,broken clouds
180,Lodja,CD,-3.4833,23.4333,72.73,39,20,1.5,few clouds
181,Ulladulla,AU,-35.35,150.4667,53.96,81,87,15.5,light rain
182,Ixtapa,MX,20.7,-105.2,88.83,58,40,10.36,scattered clouds
183,Sambava,MG,-14.2667,50.1667,69.84,83,47,17.4,light rain
184,Astoria,US,46.1879,-123.8313,70.47,69,100,10.36,overcast clouds
185,Ballina,AU,-28.8667,153.5667,46.02,90,57,8.37,broken clouds
186,Chimbote,PE,-9.0853,-78.5783,65.35,76,32,9.8,scattered clouds
187,Arroio Grande,BR,-32.2375,-53.0869,64.72,93,99,11.61,light rain
188,Hambantota,LK,6.1241,81.1185,80.53,76,100,20.96,overcast clouds
189,Mount Isa,AU,-20.7333,139.5,49.77,53,0,6.91,clear sky
190,Quime,BO,-16.9833,-67.2167,56.34,64,85,6.2,overcast clouds
191,Luderitz,NA,-26.6481,15.1594,55.4,92,1,9.53,light rain
192,Greece,US,43.2098,-77.6931,75.67,42,75,11.5,broken clouds
193,Karratha,AU,-20.7377,116.8463,61.57,32,1,5.64,clear sky
194,Lavrentiya,RU,65.5833,-171.0,51.28,78,100,10.29,overcast clouds
195,Talnakh,RU,69.4865,88.3972,45.21,92,100,19.77,light rain
196,Vilyuysk,RU,63.7553,121.6247,58.32,90,100,2.37,overcast clouds
197,Palmer,US,42.1584,-72.3287,85.06,32,20,1.99,few clouds
198,Beidao,CN,34.5686,105.8933,75.04,75,100,4.12,overcast clouds
199,Chimoio,MZ,-19.1164,33.4833,60.66,82,0,2.89,clear sky
200,Mackay,AU,-21.15,149.2,46.69,67,0,11.07,clear sky
201,Sungai Besar,MY,3.6746,100.9867,77.61,83,100,3.49,overcast clouds
202,Sao Filipe,CV,14.8961,-24.4956,74.21,84,36,7.87,scattered clouds
203,Port Macquarie,AU,-31.4333,152.9167,39.88,76,1,8.12,clear sky
204,Oktyabrskiy,RU,54.4815,53.471,65.35,76,41,3.42,scattered clouds
205,Ancud,CL,-41.8697,-73.8203,46.22,85,100,14.29,light rain
206,Kahului,US,20.8947,-156.47,84.22,67,40,26.46,scattered clouds
207,San Quintin,MX,30.4833,-115.95,75.13,64,25,18.88,scattered clouds
208,Wawa,NG,9.9022,4.4192,74.98,86,75,9.28,broken clouds
209,Talcahuano,CL,-36.7167,-73.1167,53.28,82,75,10.36,light rain
210,Lamar,US,33.6668,-95.5836,106.99,37,0,8.05,clear sky
211,Slobozia,MD,46.7281,29.7078,67.53,59,100,10.07,overcast clouds
212,Anloga,GH,5.7947,0.8973,77.79,85,100,12.41,overcast clouds
213,Raudeberg,NO,61.9875,5.1352,48.87,85,97,15.08,overcast clouds
214,Strelitsa,RU,51.6083,38.9102,68.36,64,75,7.18,broken clouds
215,Guadalupe Victoria,MX,32.2869,-115.105,104.27,12,47,3.51,scattered clouds
216,Rosetta,EG,31.4044,30.4164,77.5,82,0,9.4,clear sky
217,Salalah,OM,17.0151,54.0924,77.09,100,100,8.05,drizzle
218,Solnechnyy,RU,50.7214,136.6319,70.93,87,100,5.73,overcast clouds
219,Krizevci,HR,46.0219,16.5425,63.28,65,50,4.16,scattered clouds
220,Phonhong,LA,18.5007,102.4166,74.93,95,100,1.54,overcast clouds
221,Tiksi,RU,71.6872,128.8694,52.97,57,100,8.75,overcast clouds
222,Te Anau,NZ,-45.4167,167.7167,31.01,90,42,2.46,scattered clouds
223,Bentiu,SS,9.2333,29.8333,72.61,83,100,3.33,overcast clouds
224,Pedernales,DO,18.0384,-71.744,87.31,58,100,1.72,overcast clouds
225,Ilulissat,GL,69.2167,-51.1,50.02,62,20,4.61,few clouds
226,Pandan,PH,14.0453,124.1694,79.23,85,100,3.67,overcast clouds
227,Saint-Pierre,RE,-21.3393,55.4781,69.48,60,20,19.57,few clouds
228,Dejen,ET,10.1667,38.1333,52.56,93,100,3.15,light rain
229,Erzin,TR,36.9559,36.2,72.64,90,1,2.42,clear sky
230,Garango,BF,11.8,-0.5506,83.8,62,100,10.96,light rain
231,Port Augusta,AU,-32.5,137.7667,38.97,80,2,3.62,clear sky
232,Turkistan,KZ,43.0,68.0,73.69,36,0,4.85,clear sky
233,Sitka,US,57.0531,-135.33,58.89,77,100,4.61,overcast clouds
234,Vanavara,RU,60.34,102.2797,51.33,84,16,0.27,few clouds
235,Anzio,IT,41.4853,12.6179,81.39,74,0,4.83,clear sky
236,Takehara,JP,34.3383,132.9167,76.24,92,20,3.91,few clouds
237,Uelzen,DE,52.9667,10.5667,59.49,67,100,10.47,overcast clouds
238,Batagay,RU,67.6333,134.6333,50.5,76,100,4.54,overcast clouds
239,Port Lincoln,AU,-34.7333,135.8667,48.54,80,33,13.76,scattered clouds
240,Asosa,ET,10.0667,34.5333,59.34,93,100,2.93,overcast clouds
241,Victoria,HK,22.2855,114.1577,85.32,85,12,8.99,few clouds
242,Chumikan,RU,54.7183,135.315,52.9,97,100,5.28,overcast clouds
243,Nhulunbuy,AU,-12.2333,136.7667,70.41,78,40,9.22,scattered clouds
244,Sola,VU,-13.8833,167.55,80.28,80,36,18.45,scattered clouds
245,Colomi,BO,-17.35,-65.8667,69.82,79,59,8.34,broken clouds
246,Xacmaz,AZ,41.4635,48.806,70.79,56,0,2.51,clear sky
247,Estelle,US,29.8458,-90.1067,96.01,66,75,6.91,thunderstorm
248,Mizan Teferi,ET,6.9833,35.5833,60.64,95,98,2.35,overcast clouds
249,Am Timan,TD,11.0297,20.2827,75.79,72,33,5.66,scattered clouds
250,Chifeng,CN,42.2683,118.9636,70.52,49,58,5.23,broken clouds
251,Santa Cruz De Tenerife,ES,28.4682,-16.2546,86.59,40,0,14.97,clear sky
252,Beringovskiy,RU,63.05,179.3167,49.48,87,100,16.31,overcast clouds
253,Escanaba,US,45.7453,-87.0646,81.52,53,0,9.22,clear sky
254,Saint George,US,37.1041,-113.5841,108.63,10,0,10.0,clear sky
255,Nalut,LY,30.3333,10.85,83.89,39,94,21.41,overcast clouds
256,Marsa Matruh,EG,31.3525,27.2453,79.0,78,40,9.22,scattered clouds
257,Praia Da Vitoria,PT,38.7333,-27.0667,68.76,88,75,9.75,broken clouds
258,Tadine,NC,-21.55,167.8833,77.49,74,66,12.06,broken clouds
259,Paamiut,GL,61.994,-49.6678,39.83,94,100,10.89,overcast clouds
260,Alta Floresta,BR,-9.8756,-56.0861,94.82,34,20,5.75,few clouds
261,Bilibino,RU,68.0546,166.4372,39.88,92,100,5.44,overcast clouds
262,Vila Velha,BR,-20.3297,-40.2925,71.55,91,75,4.61,broken clouds
263,Caloundra,AU,-26.8,153.1333,48.13,87,2,1.01,clear sky
264,Mahibadhoo,MV,3.7833,72.9667,82.35,76,100,10.94,overcast clouds
265,Bardiyah,LY,31.7561,25.0865,77.52,71,0,15.79,clear sky
266,Flinders,AU,-34.5833,150.8552,54.37,87,99,4.0,light rain
267,Samarkand,UZ,39.6542,66.9597,71.02,35,0,2.3,clear sky
268,Ban Nahin,LA,18.2418,104.2122,73.9,98,88,1.86,overcast clouds
269,Panorama,GR,40.5878,23.0315,65.73,76,75,14.97,broken clouds
270,Valdemarpils,LV,57.3707,22.5919,53.1,94,0,6.69,clear sky
271,Leningradskiy,RU,69.3833,178.4167,37.56,93,100,10.13,overcast clouds
